pos;nombre;cnae;facturacion;municipio;ubicacion;domicilio_fiscal;confianza;fuente
182;KETER IBERIA SL;4686;44.009.737;Zaragoza;"Autovía de Logroño (N-232) km 4,5, 50011 (Monzalbarba; planta/almacén)";;alta;kompass/waze
183;ARALOGIC SL;4941;corporativa;Zuera;Pol. Ind. El Campillo 75, 50800 (transporte de mercancías);;alta;alimarket
184;ROLABO OUTSOURCING SL;2110;corporativa;Zaragoza;Pol. Ind. Malpica, Calle J parc. 3-4, 50016 (fabricación farmacéutica);;alta;kompass/iberinform
185;DISTRIBUCIONES RODRIGO SA;4639;corporativa;Zaragoza;Pol. Ind. El Portazgo, Ctra. Logroño 2, nave 73, 50011 (distribución alimentaria);;alta;paginasamarillas
186;ZOILO RIOS SA;4730;corporativa;Zaragoza;Oficinas y E.S. El Portazgo, Autovía de Logroño p.k. 0,3, 50011;;alta;firmania
187;MONCAYO AGRICOLA SL;4621;corporativa;Vera de Moncayo;Calle Portaza s/n, 50580;;alta;iberinform
188;INDUSTRIAS LOPEZ SORIANO SL;4682;corporativa;Zaragoza;Pol. Tecnológico del Reciclado López Soriano, C/ Aluminio 71, Cartuja Baja;;alta;paginasamarillas
189;NTT DATA SPAIN SOLUCIONES TECNOLOGICAS SL;6290;corporativa;Zaragoza;C.E. El Trovador, Plaza de Antonio Beltrán Martínez 1, 50002 (centro operativo);Madrid;media;infonif
190;DESARROLLO AGRICOLA Y MINERO SA (DAYMSA);2015;corporativa;Zaragoza;Camino de Enmedio 120, Pol. Ind. Miraflores, 50013;;alta;daymsa
191;GRUPO DELIFACTORY SL;1054;corporativa;Utebo;"Ctra. de Logroño 92, 50180 (grupo SAMCA); domicilio social en Zaragoza";Zaragoza;media;iberinform
192;AUTOSALDUBA SA;4781;corporativa;Zaragoza;Av. Cataluña 103-105, 50014 (concesionario Kia);;alta;empresite
193;ÑAMING SLU;1085;corporativa;Mallén;C/ País Vasco 5, Pol. El Zafranar, 50550;;alta;iberinform
194;COOP AGRICOLA ARAGONESA DEL EBRO;1091;corporativa;Zaragoza;CADEBRO/Agroveco, Av. de Logroño 136, 50011 (Casetas);;alta;empresite
195;OLEOHIDRAULICA FERRUZ SA;2812;40.658.458;Zaragoza;C/ Cobalto 31, Parque Tecnológico de Reciclado (PTR), 50720;;alta;empresite
196;AGROPECUARIA DEL VALLE DEL EBRO S.COOP;1091;corporativa;Zaragoza;Ctra. de Logroño, 50620 (Casetas, barrio de Zaragoza);;media;kompass
197;ESPADESA RETAIL SL;3100;corporativa;Zaragoza;Ronda del Ferrocarril 24, PLAZA, 50197 (Española del Descanso);;alta;iberinform
198;DIAGNOSTICA LONGWOOD SL;4646;corporativa;Zaragoza;Av. Diagonal 40, Pol. PLAZA, 50197;;alta;dlongwood
199;SERVICIOS LOGISTICOS MARTORELL SIGLO XXI SL;4941;corporativa;Zaragoza;C/ Virgen del Buen Acuerdo 5, 50014 (Grupo Sesé);;alta;iberinform
200;CERTEST BIOTEC SL;2120;corporativa;San Mateo de Gállego;Pol. Ind. Río Gállego II, Calle J nº 1, 50840;;alta;certest
